observation_date,CCUSSP02IDM650N
2003-01-01,8876.000
2003-02-01,8905.000
2003-03-01,8908.000
2003-04-01,8675.000
2003-05-01,8279.000
2003-06-01,8285.000
2003-07-01,8505.000
2003-08-01,8535.000
2003-09-01,8389.000
2003-10-01,8495.000
2003-11-01,8537.000
2003-12-01,8465.000
2004-01-01,8441.000
2004-02-01,8447.000
2004-03-01,8587.000
2004-04-01,8661.000
2004-05-01,9210.000
2004-06-01,9415.000
2004-07-01,9168.000
2004-08-01,9328.000
2004-09-01,9170.000
2004-10-01,9090.000
2004-11-01,9018.000
2004-12-01,9290.000
2005-01-01,9165.000
2005-02-01,9260.000
2005-03-01,9480.000
2005-04-01,9570.000
2005-05-01,9495.000
2005-06-01,9713.000
2005-07-01,9819.000
2005-08-01,10240.000
2005-09-01,10310.000
2005-10-01,10090.000
2005-11-01,10035.000
2005-12-01,9830.000
2006-01-01,9395.000
2006-02-01,9230.000
2006-03-01,9075.000
2006-04-01,8775.000
2006-05-01,9220.000
2006-06-01,9300.000
2006-07-01,9070.000
2006-08-01,9100.000
2006-09-01,9235.000
2006-10-01,9110.000
2006-11-01,9165.000
2006-12-01,9020.000
2007-01-01,9090.000
2007-02-01,9160.000
2007-03-01,9118.000
2007-04-01,9083.000
2007-05-01,8815.000
2007-06-01,9054.000
2007-07-01,9186.000
2007-08-01,9410.000
2007-09-01,9137.000
2007-10-01,9103.000
2007-11-01,9376.000
2007-12-01,9419.000
2008-01-01,9291.000
2008-02-01,9051.000
2008-03-01,9217.000
2008-04-01,9234.000
2008-05-01,9318.000
2008-06-01,9225.000
2008-07-01,9118.000
2008-08-01,9153.000
2008-09-01,9378.000
2008-10-01,10995.000
2008-11-01,12151.000
2008-12-01,10950.000
2009-01-01,11355.000
2009-02-01,11980.000
2009-03-01,11575.000
2009-04-01,10713.000
2009-05-01,10340.000
2009-06-01,10225.000
2009-07-01,9920.000
2009-08-01,10060.000
2009-09-01,9681.000
2009-10-01,9545.000
2009-11-01,9480.000
2009-12-01,9400.000
2010-01-01,9365.000
2010-02-01,9335.000
2010-03-01,9115.000
2010-04-01,9012.000
2010-05-01,9180.000
2010-06-01,9083.000
2010-07-01,8952.000
2010-08-01,9041.000
2010-09-01,8924.000
2010-10-01,8928.000
2010-11-01,9013.000
2010-12-01,8991.000
2011-01-01,9057.000
2011-02-01,8823.000
2011-03-01,8709.000
2011-04-01,8574.000
2011-05-01,8537.000
2011-06-01,8597.000
2011-07-01,8508.000
2011-08-01,8578.000
2011-09-01,8823.000
2011-10-01,8835.000
2011-11-01,9170.000
2011-12-01,9068.000
2012-01-01,9000.000
2012-02-01,9085.000
2012-03-01,9180.000
2012-04-01,9190.000
2012-05-01,9565.000
2012-06-01,9480.000
2012-07-01,9485.000
2012-08-01,9560.000
2012-09-01,9588.000
2012-10-01,9615.000
2012-11-01,9605.000
2012-12-01,9670.000
2013-01-01,9698.000
2013-02-01,9667.000
2013-03-01,9719.000
2013-04-01,9722.000
